"","outputs"
"1861",98.53
"1862",0
"1863",0
"1864",43.4
"1865",0
"1866",0
"1867",21.14
"1868",0
"1869",386.63
"1870",0
"1871",55.88
"1872",23.45
"1873",192.45
"1874",0
"1875",33.45
"1876",0
"1877",218.41
"1878",0
"1879",25.21
"1880",59.63
"1881",38.3
"1882",0
"1883",0
"1884",0
"1885",0
"1886",0
"1887",190.57
"1888",0
"1889",0
"1890",0
"1891",0
"1892",84.77
"1893",4.99
"1894",0
"1895",0
"1896",484.93
"1897",230.95
"1898",2.69
"1899",10.77
"1900",21.51
"1901",0
"1902",0
"1903",0
"1904",0
"1905",62.02
"1906",3.72
"1907",0
"1908",0
"1909",0
"1910",35.05
"1911",0
"1912",0
"1913",0
"1914",0
"1915",21.77
"1916",0
"1917",0
"1918",73.74
"1919",0
"1920",0
"1921",198.43
"1922",125.6
"1923",296.93
"1924",0
"1925",0
"1926",0
"1927",0
"1928",148.99
"1929",0
"1930",179.61
"1931",32.69
"1932",93.48
"1933",0
"1934",307.2
"1935",590.16
"1936",39.12
"1937",580.51
"1938",86.87
"1939",7.75
"1940",0
"1941",880.73
"1942",0
"1943",0
"1944",0
"1945",596.51
"1946",0
"1947",0
"1948",174.91
"1949",16.15
"1950",115.13
"1951",0
"1952",0
"1953",0
"1954",68.99
"1955",89.36
"1956",7.44
"1957",50.7
"1958",0
"1959",156.72
"1960",0
"1961",0
"1962",0
"1963",0
"1964",0
"1965",34.25
"1966",0
"1967",203.61
"1968",119.9
"1969",0
"1970",94.14
"1971",0
"1972",0
"1973",0
"1974",0
"1975",0
"1976",0
"1977",0
"1978",0
"1979",0
"1980",0
"1981",0
"1982",0
"1983",0
"1984",274.23
"1985",0
"1986",0
"1987",187
"1988",0
"1989",325.23
"1990",0
"1991",0
"1992",19.2
"1993",0
"1994",0
"1995",0
"1996",156.6
"1997",0
"1998",0
"1999",513.22
"2000",0
"2001",0
"2002",26.99
"2003",0
"2004",212.99
"2005",0
"2006",0
"2007",0
"2008",76.24
"2009",181.68
"2010",31.74
"2011",0
"2012",0
"2013",73.58
"2014",66.54
"2015",841.32
"2016",0
"2017",124.21
"2018",0
"2019",0
"2020",0
"2021",148.12
"2022",238.2
"2023",0
"2024",0
"2025",0
"2026",0
"2027",0
"2028",499.09
"2029",0
"2030",0
"2031",0
"2032",12.11
"2033",0
"2034",0
"2035",0
"2036",0
"2037",0
"2038",0
"2039",0
"2040",0
"2041",0
"2042",0
"2043",0
"2044",0
"2045",0
"2046",19.16
"2047",314.31
"2048",85.81
"2049",0
"2050",68.2
"2051",144.9
"2052",131.86
"2053",0
"2054",442.78
"2055",26.74
"2056",0
"2057",158.57
"2058",0
"2059",0
"2060",0
"2061",112.51
"2062",10.87
"2063",200.75
"2064",280.59
"2065",0
"2066",416.99
"2067",0
"2068",240.15
"2069",0
"2070",0
"2071",83.79
"2072",349.19
"2073",62.66
"2074",0
"2075",32
"2076",0
"2077",0
"2078",0
"2079",132
"2080",39.04
"2081",0
"2082",274.82
"2083",56.26
"2084",356.43
"2085",0
"2086",0
"2087",173.32
"2088",0
"2089",0
"2090",173.08
"2091",0
"2092",0
"2093",0
"2094",0
"2095",0
"2096",141
"2097",296.35
"2098",0
"2099",50.1
"2100",0
"2101",13.41
"2102",0
"2103",0
"2104",0
"2105",0
"2106",0
"2107",10.6
"2108",29.56
"2109",0
"2110",10.74
"2111",233.85
"2112",0
"2113",61.28
"2114",0
"2115",555.76
"2116",30.64
"2117",0
"2118",96.68
"2119",223.3
"2120",0
"2121",546.76
"2122",0
"2123",0
"2124",198.65
"2125",0
"2126",0
"2127",0
"2128",0
"2129",0
"2130",0
"2131",0
"2132",402.68
"2133",106.65
"2134",56.38
"2135",0
"2136",305.72
"2137",0
"2138",15.68
"2139",0
"2140",0
"2141",0
"2142",97.26
"2143",0
"2144",394.09
"2145",0
"2146",0
"2147",0
"2148",0
"2149",27.74
"2150",111.56
"2151",0
"2152",228.27
"2153",0
"2154",61.15
"2155",0
"2156",551.42
"2157",0
"2158",0
"2159",0
"2160",0
"2161",0
"2162",29.63
"2163",32.79
"2164",912.61
"2165",0
"2166",106.88
"2167",0
"2168",421.63
"2169",28.07
"2170",0
"2171",0
"2172",0
"2173",0
"2174",0
"2175",0
"2176",22.85
"2177",0
"2178",0
"2179",312.91
"2180",0
"2181",0
"2182",306.5
"2183",0
"2184",0
"2185",158.09
"2186",0
"2187",0
"2188",0
"2189",0
"2190",308.95
"2191",0
"2192",0
"2193",0
"2194",0
"2195",0
"2196",189.46
"2197",16.05
"2198",0
"2199",1.99
"2200",113.16
"2201",0
"2202",266.7
"2203",0
"2204",0
"2205",181.35
"2206",0
"2207",0
"2208",0
